Demanda;Criado em;DRI Audiovisual;Data Entrega;Etapa;Área Demandadora
VOX LUMINIS_AARON ROSS;July 16, 2024 10:16 AM;Gui Juhas;;Aprovado;Podcast
VÍDEO ABERTURA_ONBOARDING TRACTIONS;July 16, 2024 10:35 AM;Amanda Rui;;Cancelado;
Ecossistema de Vendas - Masterclass Alfredo;July 16, 2024 2:00 PM;Lucas Liberato;;Aprovado;Educação
Aftermovie_Pipelovers e Aaron Ross;July 16, 2024 4:26 PM;Lucas Liberato;;Aprovado;Matricial
ADs_ALFREDO_FORMAÇÃO G4;July 16, 2024 5:07 PM;Lucas Liberato;;Aprovado;Educação
ADs_MARIAH_FORMAÇÃO G4;July 16, 2024 5:47 PM;Lucas Liberato;;Aprovado;Educação
Gravação PTZ_Aula_Olivério_G4Sales;July 16, 2024 7:15 PM;Amanda Rui;;Aprovado;
EDIÇÃO VSL - G4 SKILLS (EDIÇÃO VIDEO DE VENDAS);July 17, 2024 11:52 AM;Lucas Liberato;;Aprovado;
REELS_6 tipos de gestores;July 17, 2024 6:45 PM;Gui Juhas;;Aprovado;Social G4
REELS_Anúncio Oficial Class 12;July 17, 2024 7:45 PM;Gui Juhas;;Aprovado;Social G4
REELS_TG e Ross 1;July 18, 2024 11:57 AM;Pedro Augusto;;Aprovado;
REELS_Alex_Anton;July 19, 2024 12:51 AM;Lucas Liberato;;Aprovado;Social G4
REELS_Gestor Microgerenciador;July 19, 2024 9:38 AM;Gui Juhas;;Aprovado;Social G4
Aftermovie Jantar Eagles 24.07;July 22, 2024 11:50 AM;Gui Juhas;;Aprovado;Comunidades
REELS_Nardon_10_lições;July 22, 2024 1:53 PM;Lucas Liberato;;Aprovado;Social G4
REELS_As pessoas não gostam delas mesmas;July 23, 2024 4:32 PM;Lucas Liberato;;Aprovado;Social G4
[ONLINE] [JOURNEY] Checkpoint_01_Gestao_de_Caixa_Giovanni_Colacicco;July 23, 2024 5:09 PM;Lucas Liberato;;Aprovado;Educação
REELS_sacrificar;July 24, 2024 2:24 PM;Lucas Liberato;;Aprovado;Social G4
Sessão de fotos com novo mentor;July 24, 2024 6:09 PM;Amanda Rui;;Aprovado;Matricial
Teaser Academia de Pequenos Negócios;July 24, 2024 6:17 PM;Pedro Augusto;;Cancelado;
PAPO DE GESTÃO_LUCAS VARGAS;July 24, 2024 6:57 PM;Gui Juhas;;Aprovado;Podcast
REELS_Napole;July 24, 2024 11:20 PM;Lucas Liberato;;Aprovado;Social G4
REELS_Ademar;July 24, 2024 11:44 PM;Gui Juhas;;Aprovado;Social G4
Aftermovie_SKILLS CONFERENCE;July 25, 2024 10:52 AM;Pedro Augusto;09/10/2024;Aprovado;
ADs_MARIAH_FUNIL DE VSL_FG4;July 26, 2024 3:00 PM;Lucas Liberato;;Aprovado;Educação
ADs_MARIAH_GEMP (G4 GESTÃO EMPRESARIAL);July 26, 2024 3:06 PM;Lucas Liberato;;Aprovado;Educação
EXTREMOS_GIBA;July 29, 2024 1:05 PM;Gui Juhas;;Aprovado;Podcast
[Online] [ECO] Posicionamento_Estratégico_Allan_Barros;July 30, 2024 1:00 PM;Lucas Liberato;;Aprovado;Educação
REELS_Nardon_Pressão;July 30, 2024 10:00 PM;Lucas Liberato;;Aprovado;Social G4
REELS_Alfred_Kinsey;July 31, 2024 4:46 PM;Gui Juhas;;Aprovado;Social G4
Vídeo_Onboarding digital para programas presenciais: Vídeo 01 - Boas vindas no WhatsApp;August 1, 2024 1:12 PM;Amanda Rui;;Cancelado;
Vídeo_Onboarding digital para programas presenciais: Vídeo 02 - Boas vindas na Landing Page;August 1, 2024 1:23 PM;Amanda Rui;;Cancelado;
Vídeo_Onboarding digital para programas presenciais: Vídeo 03 - Central de Controle do Onboarding;August 1, 2024 1:31 PM;;;Cancelado;
Vídeo_Onboarding digital para programas presenciais: Vídeo 04 - Plataforma Alumni;August 1, 2024 1:39 PM;;;Cancelado;
Vídeo_Onboarding digital para programas presenciais: Vídeo 05 - Dicas úteis;August 1, 2024 1:44 PM;;;Cancelado;
Vídeo_Onboarding digital para programas presenciais: Vídeo 06 - Diagnóstico de experiência;August 1, 2024 1:47 PM;;;Cancelado;
